Job_Code,Count,Percentage,Job_Title
US-100020696,11,0.9%,"(USA) Group Director, Operations"
US-100019320,10,0.8%,"Senior Director, Business Strategy"
US-100014419,10,0.8%,"Director, Regional Asset Protection"
US-100020346,10,0.8%,"Senior Director, Product Development"
US-100022537,9,0.7%,"Group Director, Product Management"
US-100012808,8,0.6%,"(USA) Divisional Vice President, Supply Chain, Walmart Us"
US-100023032,8,0.6%,"(USA) Senior Director, Automation Engineering"
US-100014680,7,0.6%,Emerging Market Manager
